"IDDIST","DISTRITO","Código de Local Educativo","Nombre de Local Educativo","Gestión","Número de Estudiantes","Número de Docentes","Siniestros Fatales Registrados","Longitud","Latitud","Priorizado (preliminar)"
"240201","ZORRITOS","491890","101","Pública de gestión directa",17,1,"NA",-80.6568,-3.67,"No"
"240201","ZORRITOS","491908","102 DIVINO NIÑO DE JESUS","Pública de gestión directa",235,11,"NA",-80.6792,-3.6819,"No"
"240201","ZORRITOS","491913","103 ELSA MELENDEZ CASTAÑEDA","Pública de gestión directa",47,3,"1",-80.69,-3.6851,"Sí"
"240201","ZORRITOS","491932","066 MIGUEL GRAU","Pública de gestión directa",184,19,"NA",-80.6307,-3.6652,"No"
"240201","ZORRITOS","491946","109","Pública de gestión directa",121,6,"NA",-80.76835,-3.7389,"No"
"240201","ZORRITOS","491965","213","Pública de gestión directa",16,2,"NA",-80.606955,-3.643258,"No"
"240201","ZORRITOS","491970","214","Pública de gestión directa",18,2,"NA",-80.7144,-3.7032,"No"
"240201","ZORRITOS","491989","136 PAULINO ARCELLES AGUIRRE","Pública de gestión directa",12,2,"NA",-80.755913,-3.720982,"No"
"240201","ZORRITOS","491994","135 JUSTO ROSILLO SILVA","Pública de gestión directa",4,2,"NA",-80.797,-3.775,"No"
"240201","ZORRITOS","492007","058 SIFREDO ZUÑIGA QUINTOS","Pública de gestión directa",618,36,"NA",-80.6752,-3.6807,"Sí"
"240201","ZORRITOS","492012","059 FERMINA SANCHEZ DE INFANTES","Pública de gestión directa",59,4,"NA",-80.6605,-3.6715,"No"
"240201","ZORRITOS","492026","063 RICARDO PALMA","Pública de gestión directa",208,12,"1",-80.6886,-3.6849,"Sí"
"240201","ZORRITOS","492069","067 SANTA ROSA DE LIMA","Pública de gestión directa",42,3,"NA",-80.719946,-3.70678,"No"
"240201","ZORRITOS","492088","069","Pública de gestión directa",17,1,"NA",-80.695112,-3.785429,"No"
"240201","ZORRITOS","492093","071 JOSE CARLOS MARIATEGUI","Pública de gestión directa",613,32,"NA",-80.7684,-3.7391,"Sí"
"240201","ZORRITOS","492149","CONTRALMIRANTE VILLAR","Pública de gestión directa",1097,51,"NA",-80.6811,-3.681,"Sí"
"240201","ZORRITOS","492154","131 MARINA CARIDAD LAMA VILLAR","Pública de gestión directa",18,1,"NA",-80.607215,-3.643342,"No"
"240201","ZORRITOS","492168","132","Pública de gestión directa",5,1,"NA",-80.8291,-3.8743,"No"
"240201","ZORRITOS","492187","MADRE TERESA DE CALCUTA","Privada",60,7,"NA",-80.67767,-3.68365,"No"
"240201","ZORRITOS","553699","218 MARIA MONTESSORI","Pública de gestión directa",118,6,"NA",-80.6801,-3.679,"No"
"240201","ZORRITOS","583069","SAMARITANO","Privada",39,4,"1",-80.69285,-3.68785,"Sí"
"240201","ZORRITOS","668681","SEÑOR DE LOS MILAGROS","Privada",65,4,"NA",-80.67801,-3.68144,"No"
"240201","ZORRITOS","690837","ACAPULCO","Pública de gestión directa",45,3,"NA",-80.77208,-3.74199,"No"
"240201","ZORRITOS","812443","008 DIVINO NIÑO JESUS","Pública de gestión directa",42,8,"NA",-80.6773,-3.681,"No"
