"Código de Local Educativo","Nombre de Local Educativo","IDDIST1","DEPARTAMEN","PROVINCIA","DISTRITO","Gestión","Número de Estudiantes","Número de Docentes","Siniestros Fatales Registrados","Longitud","Latitud","Zona Escolar"
"533282","INTERNACIONAL ELIM",40110,"AREQUIPA","AREQUIPA","MIRAFLORES","Privada",385,28,NA,-71.52363,-16.39357,"Priorizada"
"550686","JOULMER",40110,"AREQUIPA","AREQUIPA","MIRAFLORES","Privada",100,27,1,-71.52112,-16.39412,"Priorizada"
"550691","SALOMON",40110,"AREQUIPA","AREQUIPA","MIRAFLORES","Privada",280,19,1,-71.52276,-16.39727,"Priorizada"
"58213","SANTA ROSA DE LIMA",40110,"AREQUIPA","AREQUIPA","MIRAFLORES","Pública de gestión privada",389,31,1,-71.51852,-16.38575,"Priorizada"
"61828","40144 AUGUSTO SALAZAR BONDY",40110,"AREQUIPA","AREQUIPA","MIRAFLORES","Pública de gestión directa",399,24,NA,-71.51846,-16.39087,"Priorizada"
"61866","40151 CAP.FAP. JOSE ABELARDO QUIÑONES",40110,"AREQUIPA","AREQUIPA","MIRAFLORES","Pública de gestión directa",209,12,1,-71.51718,-16.38631,"Priorizada"
"61890","40158 EL GRAN AMAUTA",40110,"AREQUIPA","AREQUIPA","MIRAFLORES","Pública de gestión directa",559,43,NA,-71.50694,-16.37591,"Priorizada"
"61908","40159 EJERCITO AREQUIPA",40110,"AREQUIPA","AREQUIPA","MIRAFLORES","Pública de gestión directa",1131,58,NA,-71.51565,-16.39867,"Priorizada"
"61932","41037 JOSE GALVEZ",40110,"AREQUIPA","AREQUIPA","MIRAFLORES","Pública de gestión directa",538,32,NA,-71.51967,-16.39426,"Priorizada"
"778707","SPLENDY",40110,"AREQUIPA","AREQUIPA","MIRAFLORES","Privada",112,9,1,-71.52182,-16.39678,"Priorizada"
"844745","LEARNING",40110,"AREQUIPA","AREQUIPA","MIRAFLORES","Privada",39,3,1,-71.52143,-16.39003,"Priorizada"
"856427","INNOVA SCHOOLS - AREQUIPA MIRAFLORES",40110,"AREQUIPA","AREQUIPA","MIRAFLORES","Privada",584,26,NA,-71.511341,-16.394122,"Priorizada"
